α,β,L1,L2,L3
47.970319,66.20683,-7.333333,-24.046959,31.380293
42.212607,9.790947,55.333333,-24.779831,-30.553503
-4.244985,-18.528971,-2,34.487298,-32.487298
71.775431,-75.341776,-59.333333,-10.171671,69.505004
-61.827044,-69.182566,3.333333,-10.904542,7.571209
81.814144,-1.889323,-54,47.785219,6.214781
28.193633,3.004823,8.666667,47.052348,-55.719015
34.776248,-68.889084,-48.666667,2.39338,46.273287
-6.777698,-77.682576,14,1.660508,-15.660508
-63.871075,38.472162,-43.333333,60.927637,-17.594303
66.838665,43.178599,20,-44.642032,24.642032
64.598675,51.1812,-37.333333,14.625096,22.708237
44.390981,-59.814404,25.333333,13.892225,-39.225558
-32.939952,50.270347,-32,-30.766744,62.766744
-69.25305,-55.424036,30.666667,-31.499615,0.832948
-67.287539,-51.362442,-26.666667,27.767513,-1.100847
70.517802,-55.197299,36,26.457275,-62.457275
18.39182,71.325856,-21.333333,-18.201694,39.535027
-31.217027,60.514217,41.333333,-18.934565,-22.398768
-25.940388,-10.00666,-16,40.332564,-24.332564
-81.30381,30.423896,46.666667,-64.326405,17.659738
